"Country Name","Area (Sq. Km.) 2010","Population (Millions) 2010","Population (Millions) 2011","Population (Millions) 2012","Population (Millions) 2013","Population (Millions) 2014","Population (Millions) 2015","GDP Billions (USD) 2010","GDP Billions (USD) 2011","GDP Billions (USD) 2012","GDP Billions (USD) 2013","GDP Billions (USD) 2014","GDP Billions (USD) 2015","Gross Domestic Product Per Capita Income at Current Price (USD) 2010","Gross Domestic Product Per Capita Income at Current Price (USD) 2011","Gross Domestic Product Per Capita Income at Current Price (USD) 2012","Gross Domestic Product Per Capita Income at Current Price (USD) 2013","Gross Domestic Product Per Capita Income at Current Price (USD) 2014","Gross Domestic Product Per Capita Income at Current Price (USD) 2015","Gross domestic product based on Purchasing-Power-Parity (PPP) valuation of Country GDP in Billions (Current International Dollar) 2010","Gross domestic product based on Purchasing-Power-Parity (PPP) valuation of Country GDP in Billions (Current International Dollar) 2011","Gross domestic product based on Purchasing-Power-Parity (PPP) valuation of Country GDP in Billions (Current International Dollar) 2012","Gross domestic product based on Purchasing-Power-Parity (PPP) valuation of Country GDP in Billions (Current International Dollar) 2013","Gross domestic product based on Purchasing-Power-Parity (PPP) valuation of Country GDP in Billions (Current International Dollar) 2014","Gross domestic product based on Purchasing-Power-Parity (PPP) valuation of Country GDP in Billions (Current International Dollar) 2015"
"Argentina","2766890","40.79","41.26","41.73","42.2","42.64","43.1","461.65","558.68","607.6","622.05","543.06","578.71","11318.2","13540.01","14559.04","14739.6","12735.6","13428.32","784.28","867.6","890.67","931.3","951","964.28"
"Australia","7686850","22.17","22.52","22.92","23.3","23.63","24.03","1244.97","1499.95","1555.26","1497.22","1442.72","1240.8","56149.49","66604.21","67853.81","64271.09","61066.15","51641.63","917.89","962.34","1015.35","1053.23","1099.77","1136.92"
"Brazil","8511965","195.5","197.4","199.24","201.03","202.77","204.45","2209.27","2613.06","2412.02","2391.03","2346.58","1799.61","11300.71","13237.59","12106","11893.71","11572.7","8802.17","2803.9","2973.86","3082.02","3218.2","3275.8","3207.86"
"Canada","9976140","33.96","34.3","34.7","35.11","35.49","35.8","1614.07","1788.74","1832.72","1838.96","1785.39","1572.78","47530.6","52145.45","52818.12","52392.73","50304.03","43934.81","1355.51","1424.45","1478.58","1532.79","1595.98","1628.41"
"China","9596960","1340.91","1347.35","1354.04","1360.72","1367.82","1374.96","6039.55","7492.53","8461.51","9490.85","10356.51","11384.76","4504.07","5560.94","6249.09","6974.87","7571.54","8280.09","12357.02","13810.26","15154.32","16585","18088.05","19509.98"
"France","547030","62.77","63.07","63.38","63.65","63.92","64.21","2651.77","2865.3","2682.9","2811.13","2833.69","2422.65","42249.06","45430.28","42333.09","44163.99","44331.6","37728.41","2340.16","2438.12","2487.57","25544.72","2591.17","2646.95"
"Germany","357021","81.75","80.33","80.52","80.77","81.1","81.69","3423.47","3761.14","3541.58","3746.49","3874.44","3371","41876.44","46822.36","43981.75","46386.11","47773.58","41267.31","3279.68","3471.83","3557.47","3630.15","3748.09","3842"
"India","3287590","1195.06","1217.44","1243","1259.35","1275.92","1292.71","1708.46","1843.02","1835.82","1875.16","2051.23","2181.58","1429.6","1513.85","1476.93","1488.99","1607.65","1688.36","5370.62","5845.36","6255.54","6796.13","7411.09","8027.03"
"Indonesia","1919440","237.64","241.99","245.43","248.82","252.17","255.46","755.26","892.59","919","912.5","888.65","872.62","3178.03","3688.53","3744.53","3667.35","3524.08","3415.83","2003.96","2171.52","2344.88","2516.06","2685.89","2838.64"
"Italy","301230","59.19","59.37","59.39","59.69","60.78","60.95","2130.59","2280.32","2076.37","2137.62","2147.74","1819.05","35995.62","38411.98","34959.13","35814.81","35334.82","29847.38","2077.42","2132.75","2111.86","2109.84","2135.36","2173.6"
"Japan","377835","128.05","127.9","127.61","127.34","127.06","126.73","5498.72","5908.99","5957.25","4919.59","4602.37","4116.24","42942.77","46201.61","46683.05","38633.16","36221.81","32480.66","4319.5","4388.65","4547.36","4694.85","4767.16","4842.4"
"Mexico","1972550","114.29","115.69","117.06","118.4","119.72","121.09","1051.13","1171.19","1186.6","1261.86","1291.06","1161.48","9196.89","10123.93","10137.13","10657.85","10784.46","9592.12","1785.68","1896.26","2008.79","2069.84","2148.88","2220.13"
"Russia","17075200","142.9","142.9","143.3","143.7","146.3","146.3","1524.92","1904.79","2016.11","2079.02","1860.6","1235.86","10671.22","13320.22","14069.16","14467.79","12717.69","8447.42","3031.01","3226.6","3397.76","3498.04","3576.84","3473.78"
"Saudi Arabia","1960582","27.56","28.38","29.2","29.99","30.77","31.39","526.81","669.51","733.96","744.34","746.25","632.07","19112.69","23593.83","25139","24815.93","24252.17","20138.83","1217.78","1366.7","1466.83","1530.54","1609.63","1681.18"
"South Africa","1219912","50.79","51.55","52.34","53.16","54","54.86","375.3","417.06","397.39","366.24","350.08","317.29","7389.04","8089.87","7592.2","6889.7","6482.75","5783.5","601.5","633.64","659.64","685.22","707.1","724.01"
"Republic of Korea","98480","49.41","49.78","50","50.22","50.42","50.63","1094.5","1202.46","1222.81","1305.61","1410.38","1392.95","22151.21","24155.83","24453.97","25997.88","27970.49","27512.89","1473.65","1559.45","1624.58","1698.88","1783.95","1849.4"
"Turkey","780580","73.14","74.22","75.18","76.06","76.9","77.74","731.53","774.73","788.61","823.03","798.33","722.22","10001.63","10437.72","10490.12","10821.44","10381.03","9290.43","1184.4","1314.9","1367.61","1448.17","1514.86","1576.29"
"United Kingdom","244820","62.26","63.29","63.71","64.09","64.51","64.94","2407.35","2593.45","2623.83","2678.38","2950.04","2864.9","38664.85","40930.52","41187.11","41792.86","45729.27","44117.8","2233.48","2317.09","2375.32","2454.23","2569.22","2659.73"
"USA","9629091","309.76","312.08","314.4","316.74","319.08","321.41","14964.4","15517.93","16155.25","16663.15","17348.08","17968.2","48309.45","49725","51384","52607.92","54369.83","55904.3","14964.4","15517.93","16155.25","16663.15","17348.08","17968.2"
"European Union","4324782","501.65","502.75","503.82","504.89","507.01","513.95","16971.15","18337.91","17265.76","17990.89","18527.12","16265.64","33615.91","34897.4","35317.74","35900.36","36868.81","37801.76","16852.4","17502.63","17748.31","18078.85","18640.41","19176.33"
